geoid,county_name,gen_cap_50km_mw_existing,gen_cap_50km_mw_staged,pct_change,Ec_existing,Ec_staged,Ec_delta
56001,Albany,30.29653564290473,446.80973750832777,1374.788215968739,0.009738895631752021,0.12846226359730428,0.11872336796555226
56003,Big Horn,1.6914456800684345,105.69366980325064,6148.717948717948,0.0005437193591743926,0.030387986050949837,0.029844266691775444
56005,Campbell,1237.1280683782572,1237.1280683782572,0.0,0.3976778494761151,0.355686679770871,-0.041991169705244136
56007,Carbon,91.98932165103703,214.61845437743855,133.3080085008096,0.029570192887876438,0.06170494988052193,0.032134756992645494
56009,Converse,1325.9720955641342,2329.3720955641343,75.672784016854,0.4262369797498245,0.6697177501665069,0.24348077041668242
56011,Crook,1.5679250482226508,1.5679250482226508,0.0,0.0005040133493489466,0.0004507941164595591,-5.321923288938748e-05
56013,Fremont,11.800269021877062,17.12832343535861,45.15197410841755,0.0037932253966328046,0.004924564116268641,0.0011313387196358361
56015,Goshen,5.268654701397712,8.184506035578146,55.343375101178914,0.0016936219659381632,0.002353127256400877,0.0006595052904627139
56017,Hot Springs,15.0,15.0,0.0,0.004821786761302268,0.004312649864582794,-0.0005091368967194742
56019,Johnson,0.0,0.0,0.0,0.0,0.0,0.0
56021,Laramie,850.5748793811555,1388.8975088719646,63.28926970926667,0.2734193795264219,0.39932191023707053,0.1259025307106486
56023,Lincoln,260.651712640194,276.24625644134585,5.982904790147581,0.08378713182128336,0.07942355869555162,-0.00436357312573174
56025,Natrona,1128.1465260483485,1330.5325774155408,17.939695482297545,0.3626454656072714,0.382541409320942,0.019895943713670594
56027,Niobrara,0.0,0.0,0.0,0.0,0.0,0.0
56029,Park,29.662929245598768,123.24576611553651,315.48750999978563,0.009535221302524934,0.03543438910323809,0.025899167800713156
56031,Platte,1899.4058018101646,1899.4058018101646,0.0,0.6105686499672649,0.5460981449309589,-0.06447050503630603
56033,Sheridan,1.5632217090069285,1.5632217090069285,0.0,0.0005025014494313277,0.0004494418594441076,-5.30595899872201e-05
56035,Sublette,0.0,0.0,0.0,0.0,0.0,0.0
56037,Sweetwater,1643.5882982010028,1731.8758525630362,5.371634396440339,0.5283354864864613,0.497931610735346,-0.03040387575111536
56039,Teton,132.91524029812388,132.91524029812388,0.0,0.04272592973632022,0.038214459538179577,-0.004511470198140646
56041,Uinta,289.3143920957851,301.05250170349456,4.057215931319195,0.09300082037744467,0.08655560204692583,-0.006445218330518837
56043,Washakie,0.0,0.0,0.0,0.0,0.0,0.0
56045,Weston,0.0,0.0,0.0,0.0,0.0,0.0
